LeafID,TreeID,site,species,DBH,toughness,thickness,hydrated_mass,dry_mass,water_content,water_content_percent,leaf_area,SLA,imageJ notes ,damage_area,percent_damage,damage notes,measurement notes
TWAR1.1,TWAR1,Tower0,Acer rubrum,23.6,3.8,0.14,0.6503,0.3287,0.3216,49.45409811,51.814,157.6331001,~10% damage on leaf edge,4.468,8.623152044,,
TWAR1.2,TWAR1,Tower0,Acer rubrum,23.6,2.4,0.14,0.7539,0.2953,0.4586,60.83034885,54.727,185.3267863,,1.92,3.508323131,,
TWAR1.3,TWAR1,Tower0,Acer rubrum,23.6,2.95,0.14,0.4833,0.1937,0.2896,59.92137389,33.848,174.7444502,,,0,,
TWAR1.4,TWAR1,Tower0,Acer rubrum,23.6,3,0.14,0.4192,0.1675,0.2517,60.04293893,30.614,182.7701493,,,0,,
TWAR1.5,TWAR1,Tower0,Acer rubrum,23.6,2.95,0.14,0.3626,0.1506,0.212,58.4666299,29.199,193.8844622,,,0,,
TWAR2.1,TWAR2,Tower0,Acer rubrum,9.4,3.25,0.16,0.553,0.2254,0.3276,59.24050633,41.871,185.7630878,,2.382,5.688901626,,
TWAR2.2,TWAR2,Tower0,Acer rubrum,9.4,2.2,0.13,0.1706,0.0725,0.0981,57.50293083,14.946,206.1517241,,1.107,7.40666399,,
TWAR2.3,TWAR2,Tower0,Acer rubrum,9.4,2.05,0.14,0.6806,0.2798,0.4008,58.8892154,53.948,192.8091494,>10% damage on leaf edge,,0,,
TWAR2.4,TWAR2,Tower0,Acer rubrum,9.4,2.55,0.15,1.2469,0.4355,0.8114,65.07338199,83.222,191.0952928,>10% damage on leaf edge,,0,,
TWAR2.5,TWAR2,Tower0,Acer rubrum,9.4,2.87,0.13,0.3467,0.1454,0.2013,58.06172483,30.902,212.5309491,,,0,,
TWAR3.1,TWAR3,Tower0,Acer rubrum,24,3.4,0.15,0.9052,0.3462,0.559,61.75430844,60.993,176.1785095,,2.661,4.362795731,,
TWAR3.2,TWAR3,Tower0,Acer rubrum,24,1.75,0.14,0.8878,0.3384,0.5494,61.88330705,59.936,177.1158392,,0.744,1.241324079,,
TWAR3.3,TWAR3,Tower0,Acer rubrum,24,2.35,0.16,0.7337,0.3059,0.4278,58.30721003,56.158,183.5828702,,,0,,
TWAR3.4,TWAR3,Tower0,Acer rubrum,24,2.4,0.16,0.8891,0.3758,0.5133,57.73253852,61.131,162.6689729,,,0,,
TWAR3.5,TWAR3,Tower0,Acer rubrum,24,2.55,0.14,0.2567,0.1083,0.1484,57.81067394,19.41,179.2243767,,0.271,1.396187532,,
TWAR4.1,TWAR4,Tower0,Acer rubrum,14.6,3,0.15,0.4931,0.2128,0.2803,56.84445346,37.577,176.5836466,,5.225,13.90478218,,toughness taken over a vein
TWAR4.2,TWAR4,Tower0,Acer rubrum,14.6,3.6,0.15,0.901,0.4237,0.4773,52.97447281,61.962,146.2402643,,,0,,toughness taken over a vein
TWAR4.3,TWAR4,Tower0,Acer rubrum,14.6,3.9,0.16,0.4492,0.1929,0.2563,57.0569902,30.625,158.7610161,,,0,,could only take one toughness measurement
TWAR4.4,TWAR4,Tower0,Acer rubrum,14.6,2.8,0.17,0.6486,0.2734,0.3752,57.84767191,44.382,162.3335772,,,0,,
TWAR4.5,TWAR4,Tower0,Acer rubrum,14.6,4.05,0.14,0.417,0.1868,0.2302,55.20383693,32.879,176.0117773,,,0,,
TWAR5.1,TWAR5,Tower0,Acer rubrum,10.8,3.1,0.13,0.8464,0.3692,0.4772,56.37996219,64.712,175.276273,,4.229,6.535109408,,
TWAR5.2,TWAR5,Tower0,Acer rubrum,10.8,2.95,0.12,0.3448,0.1823,0.1625,47.1287703,36.231,198.7438289,,2.016,5.564295769,,
TWAR5.3,TWAR5,Tower0,Acer rubrum,10.8,2.3,0.18,0.6923,0.2909,0.4014,57.98064423,56.228,193.2897903,,,0,,
TWAR5.4,TWAR5,Tower0,Acer rubrum,10.8,3.05,0.14,0.2484,0.1154,0.133,53.54267311,23.366,202.4783362,,,0,,
TWAR5.5,TWAR5,Tower0,Acer rubrum,10.8,2.85,0.14,0.5568,0.2436,0.3132,56.25,46.538,191.0426929,,,0,,
TWCT6.1,TWCT6,Tower0,Carya tomentosa,16.4,2.43,0.12,7.0531,2.5714,4.4817,63.54227219,638.647,248.3654818,,,0,,
TWCT6.2,TWCT6,Tower0,Carya tomentosa,16.4,3.67,0.13,5.0328,1.9097,3.1231,62.05491973,,0,,,,,
TWCT6.3,TWCT6,Tower0,Carya tomentosa,16.4,2.57,0.13,5.1131,1.847,3.2661,63.8771,,0,,,,,
TWCT6.4,TWCT6,Tower0,Carya tomentosa,16.4,2.75,0.13,5.1918,1.7591,3.4327,66.1177241,,0,,,,,
TWCT6.5,TWCT6,Tower0,Carya tomentosa,16.4,3,0.14,2.9657,0.9617,2.004,67.57257983,,0,,,,,
TWCT7.1,TWCT7,Tower0,Carya tomentosa,23.1,2,0.13,6.9182,2.1897,4.7285,68.34870342,511.472,233.5808558,,,0,,
TWCT7.2,TWCT7,Tower0,Carya tomentosa,23.1,2.85,0.14,5.1493,1.6098,3.5395,68.7374983,,0,,,,,
TWCT7.3,TWCT7,Tower0,Carya tomentosa,23.1,3.5,0.13,4.7748,1.4962,3.2786,68.66465611,,0,,,,,
TWCT7.4,TWCT7,Tower0,Carya tomentosa,23.1,2.2,0.13,2.664,0.8133,1.8507,69.47072072,,0,,,,,
TWCT8.1,TWCT8,Tower0,Carya tomentosa,36.4,2.3,0.12,6.7649,2.2153,4.5496,67.25302665,651.645,294.1565476,,,0,,
TWCT8.2,TWCT8,Tower0,Carya tomentosa,36.4,3.25,0.11,10.6066,3.5438,7.0628,66.58872777,,0,,,,,
TWCT8.3,TWCT8,Tower0,Carya tomentosa,36.4,2.45,0.1,10.3718,3.5941,6.7777,65.34738425,,0,,,,,
TWCT8.4,TWCT8,Tower0,Carya tomentosa,36.4,2.05,0.12,2.4851,0.8516,1.6335,65.7317613,,0,,,,,
TWCT8.5,TWCT8,Tower0,Carya tomentosa,36.4,3,0.1,2.292,0.8868,1.4052,61.30890052,,0,,,,,
TWCT9.1,TWCT9,Tower0,Carya tomentosa,16.3,3.95,0.13,7.3408,2.8295,4.5113,61.45515475,613.242,216.731578,,,0,,
TWCT9.2,TWCT9,Tower0,Carya tomentosa,16.3,2.8,0.15,8.5449,2.9141,5.6308,65.8966167,,0,,,,,
